" A spy? Very foolish of you. It will be difficult to report to him when you are dead, won't it? "," ¿Una espía? Es muy tonto por tu parte. Será difícil contárselo a él cuando estés muerta, ¿o no? "
"This is the famous Thieves' Circle! I thought you would've known this, seeing as how you made it through all the defenses and whatnot. But no matter. You're quite promising, and the Circle could use someone like you.","¡Esto es el famoso Gremio de Ladrones! Suponía que lo sabrías, viendo cómo conseguiste pasar por las defensas y todo lo demás. Pero no importa. Eres bastante prometedora y el Círculo te podrá usar para algo."
"This is what I do to punks and losers","Esto es lo que hago con las mocosas y los perdedoras"
"This is what I do to troublemakers!","¡Esto es lo que les hago a las alborotadoras!"
"This is what we do to troublemakers","Esto es lo que hacemos con las alborotadoras"
"This is where you would be considered dead.","Es aquí donde deberías darte por muerta."
"This job sucks. Find someone else.","Este trabajo es una mierda. Encuentra a otra."
"This kid's trying to rile me","Este chica está intentando sacarme de quicio"
"This may be your land, but I am not your slave.","Ésta puede que sea tu tierra pero yo no soy tu esclava."
"This means you have been seriously wounded in one or both of your eyes.  This affects your Perception.","Esto significa que has sido gravemente herida en uno o en ambos ojos. Esto afecta a tu Percepción."
"This one is mine!","¡Este es mía!"
"This one's mine!","¡Este es mía!"
"This place isn't about entertainment, it's about enlightenment. More importantly, it's about making the right choices about the destiny of the world. See you around.","Aquí no viene una a entretenerse. Aquí viene una a iluminar su espíritu. Y más importante aún, a tomar las decisiones oportunas para el destino del mundo. Hasta la vista."
"Time to take this fool apart","Hora de acabar con esta tonta"
"Time to take this punk apart","Es hora de apartar a esta mocosa"
"Tine runs a shop over near the gates. It's down below the little bunker. He does all th' tradin' with the Hub and with outsiders like you. Anything else?","Tine tiene una tienda cerca de las puertas. Justo debajo del pequeño búnker. Se encarga de todo el comercio con el Eje y con las extranjeras como tú. ¿Algo más?"
"Too slow!","¡Demasiada lenta!"
"Tough. You want money, I'll give it to you. You want food, I'll give it to you. You want to die, I'll arrange it. But 'like' ain't part of the equation.","Eres tozuda. Si quieres dinero, te lo doy. Si quieres comida, te la doy. Si quieres morir, yo lo arreglo. Pero ""que te guste"" no forma parte de la ecuación."
"Training hall? Do you think I could get some training there? I am a member of the Brotherhood now, right?","¿Sala de entrenamiento? ¿Sabes si puedo entrenarme allí? Ahora soy una miembro de la Hermandad, ¿verdad?"
"Traitor!","¡Traidora!"
"Traitor! Why did you ever come back here? Now everybody will die!","¡Traidora! ¿Por qué tuviste que regresar? ¡Ahora todo el mundo morirá!"
"Trespasser! This is a private room!","¡Intrusa! ¡Esto es un cuarto privado!"
"Uh, it ain't gonna work if you can't tell your right foot from your left. Sorry big guy.","Uh, no vas a funcionar si no sabes ni dónde tienes los pies. Lo siento, tía."
"Uh... I didn't say anything. You forget what Ton told you or Ton will make you forget, permanently!","Oh... No he dicho nada. O te olvidas de lo que Ton te ha contado, ¡o Ton te lo hará olvidar para siempre!"
"Until we meet again, my friend. May the water you find in the desert not shine at you in the dark.","Hasta que volvamos a vernos, amiga mía. Que el agua que encuentres en el desierto no brille en la oscuridad."
"Vault Dweller.","Moradora del Refugio."
"Vault Hero.","Heroína del Refugio."
"Vault Veteran.","Veterana del Refugio."
"Very good. Carry on, Initiate.","Muy bien. Continúa, Iniciada."
"Very well then. Are you irradiated or hurt? I'll help you if I can.","Bien, entonces, ¿te ha afectado la radiación o estás herida? Te ayudaré si puedo."
"Very well, but I guarantee success! If you want to get in on the riches just waiting, come back soon, or I will find another partner!","Muy bien, ¡pero te garantizo el éxito! Si quieres formar parte de los ricos, vuelve pronto; o ¡me buscaré a otro compañera!"
"Vincent! Prepare our newest volunteer!","¡Vincent! ¡Prepara a nuestra próxima voluntaria!"
"Wanderer, I shall believe you... for now. You may enter Shady Sands, but be warned your every move will be watched.","Moradora, voy a creerte... por ahora. Puedes entrar en Arenas Sombrías, pero has de saber que vigilaremos cada uno de tus pasos."
"Wanderer, you just screwed up. We needed evidence so that we could take down Gizmo all nice and legal-like. Look, off the record, I'm happy to have that fat fuck out of the picture, but we can't condone murder. You better leave Junktown and never come back.","Viajera, has cometido un grave error. Necesitábamos pruebas para poder acabar con Gizmo legalmente y de buena manera. Mira, de modo extraoficial te diré que me alegro de que ese gordinflón esté fuera de combate. Pero, no podemos admitir asesinatos. Mejor será que te vayas de Ciudad Vertedero y no vuelvas nunca."
"Wandering Hero.","Heroína Errante."
"Want me to stand still for you?","¿Quieres que me quede quieta para ti?"
"Watch out for Deathclaws!","¡Cuídado con las Garras Mortales!"
"Water Chip, hmmmm. Don't think I've heard of one of those things. If I's was you, I'd try the Water Merchants. They got a grip on all the water around here.","Un Chip de Agua, mmm. No creo que haya oído hablar de tal cosa. Si fuera tú, lo intentaría con los Mercaderes de Agua. Controlan toda el agua de la zona."
"Water Chip? I hope you're not serious! You'd be better off struggling on the surface than enslaving yourself to a single piece of machinery.","¿Un Chip de Agua? ¡Espero que no vaya en serio! Deberías estar partiéndote los cuernos luchando en vez de ser esclava de una máquina."
"Watta maroon!","¡Qué petarda!"
"Way to go, rocket scientist! Who else could I be, Doc Morbid? Jeez!","Vete, puñetera científica. ¿Quién podría ser sino, Doc Mórbid? ¡Joder!"
"We can leave as soon as you're ready.","Puedes irte en cuanto estés preparada."
"We don't get many outsiders here.","No vienen muchas forasteras por aquí."
"We don't hire drunks.","No contratamos a borrachas."
"We don't like your kind around here!","¡Por aquí no nos gustan las tipas como tú!"
"We don't like your kind here. You've got about fifteen seconds before I blow your head off.","No nos gustan las tipas como tú. Tienes quince segundos antes de que te vuele la tapa de los sesos."
"We don't like your kind in these parts.","Las de tu clase no nos gustan por aquí."
"We don't take to strangers much. Your business in Shady Sands?","No hablamos mucho con extrañas. ¿Has venido por negocios a Arenas Sombrías?"
"We don't tolerate drug users around here. I suggest you see the doctor and clean yourself up.","No toleramos drogadictas por aquí. Sugiero que vayas a ver al médico para desintoxicarte."
"We will. I'm heading out. You take care of yourself.","Lo haremos. No estoy mal de la cabeza. Cuídate tú solita."
"We won't allow murderers in the Vault. Go away!","No permitiremos a asesinas en el Refugio. ¡Lárgate!"
"Weak Fool","Tonta enclenque"
"Welcome Oh Punt One. You are just in time to help us.","Bienvenida, Oh Despejadora. Has llegado a tiempo para ayudarnos."
"Welcome Paladin, it's been a while.","Bienvenida, Paladín. Ha pasado mucho tiempo."
"Welcome back! You're welcome here any time.","¡Bienvenida de nuevo! Eres bienvenida siempre que quieras."
"Welcome back, ","Bienvenida, "
"Welcome back.","Bienvenida de nuevo."
"Welcome back. The Hole is open and ready to house you once more.","Bienvenida de nuevo. El Agujero está abierto y listo para que puedas volverte a meter."
"Welcome back. You shall now assist us.","Bienvenida de nuevo. Ahora nos ayudarás."
"Welcome to Adytum, stranger. Watch yourself, we'll be watching you.","Bienvenida a Adytum, extranjera. Contrólate porque te vigilaremos."
"Welcome to Beth's Palace of Pleasure.","Bienvenida al Palacio del Placer de Beth."
"Welcome to Beth's Weapon Shop & Rumor Mill.","Bienvenida a la Armería de Beth y Rumor Mill."
"Welcome to Junktown, ","Bienvenida a Ciudad Vertedero, "
"Welcome to Junktown, stranger. What can I help you with?","Bienvenida a Ciudad Vertedero, forastera. ¿En qué puedo ayudarte?"
"Welcome to Junktown. What can I do for you?","Bienvenida a Ciudad Vertedero. ¿Qué puedo hacer por ti?"
"Welcome to Shady Sands, stranger!","Bienvenida a Arenas Sombrías, forastera."
"Welcome to Shady Sands, stranger. Please holster that weapon while you are here.","Bienvenida a Arenas Sombrías, forastera. Por favor, guarda tu arma mientras que estés aquí."
"Welcome to Shady Sands, traveler. My name is Katrina. My job is to greet strangers and help them understand our village. We find that there are fewer problems if you listen to what I have to say.","Bienvenida a Arenas Sombrías, viajera. Me llamo Katrina. Mi trabajo consiste en dar la bienvenida a los forasteros y ayudarlos a entender nuestro pueblo. Sabemos que tendrás menos problemas si escuchas lo que tengo que decir."
"Welcome to hell, punk","Bienvenido al infierno, mocosa"
"Welcome to my humble house. What can I do for you?","Bienvenida a mi humilde morada. ¿Qué puedo hacer por ti?"
"Welcome to our meeting! As you have been picked by the Overseer to go outside, perhaps you can give us some advice before our move to the outdoors as well.","¡Bienvenida a nuestra reunión! Ya que el Supervisor te escogió para salir al exterior, quizás puedas darnos algún consejo antes de que nos mudemos al exterior."
"Welcome to the All-In-One Store.","Bienvenida a Almacenes Todo en Uno."
"Welcome to the Crash House. How can I help you, stranger?","Bienvenida a la Posada. ¿En qué puedo ayudarte, forastera?"
"Welcome to the Followers of the Apocalypse. Please respect the sanctity of our Library.","Bienvenida a los Seguidores del Apocalipsis. Por favor, respeta la santidad de nuestra biblioteca."
"Welcome to the Hub!","¡Bienvenida al Eje!"
"Welcome to the Skum Pitt. Can I get you something to drink?","Bienvenida a la Fosa Común. ¿Quieres algo de beber?"
"Welcome to the Skum Pitt. What can I do ya for?","Bienvenida a la Fosa Común. ¿Qué puedo hacer por ti?"
"Welcome to the Thieves' Circle. I'm Jasmine. I'm here to help make your infiltration of the Daren Hightower estate as painless as possible. Hightower's estate is located in the Heights. It has a minimum of two guards on duty at all times. The necklace is probably in a strongbox, which often have some minor traps, so be careful. Here are some lockpicks and a couple of flares to make your job a little easier... and a bottle of Nuka-Cola. Try not to kill Mr. Hightower. He's one of our 'favorite' people. You got all that?","Bienvenida al Gremio de Ladrones. Soy Jasmine. Estoy aquí para ayudarte a que te infiltres en la propiedad de Daren Hightower. La propiedad de Hightower está en las Alturas. Hay un mínimo de dos hombres de guardia a todas horas. El collar está probablemente en la caja fuerte que normalmente tiene pequeñas trampas, así que ten cuidado. Aquí tienes unas ganzúas y un par de sopletes para facilitar tu trabajo... y una botella de Nuka-Cola. Trata de no matar al señor Hightower. Es una de nuestras personas ""preferidas"". ¿Lo has comprendido todo?"
"Welcome to the gang, man.","Bienvenida a la banda, colega."
"Welcome, friend.","Bienvenida, colega."
"Welcome, my friend! How might I help you today?","¡Bienvenida! ¿En qué puedo ayudarte en el día de hoy?"
"Welcome, stranger. We don't see your kind often.","Bienvenida, extranjera. No vemos a gente como tú muy a menudo."
"Welcome. How might I help you today?","Bienvenida. ¿En qué puedo ayudarte hoy?"
"Well I don't really care. If you won't get out of my way, I'll just remove you myself.","Bien, no me importa demasiado. Si no te largas de aquí, te echaré yo misma."
"Well I see we have a bright new addition to our order after all... [Talus leers at you.] Don't get cocky with me, Initiate. I'm not in the mood nor have I the patience!","Caramba, veo que después de todo hicimos un estupendo fichaje... [Talus te mira de reojo.] Déjate de chulerías conmigo, Iniciada. ¡No tengo ni el humor ni la paciencia!"
